1, extreme_hills, still_life:alpine_heathlands, MONSTER, minecraft:spider, 80, 4, 4
2, extreme_hills, still_life:alpine_heathlands, MONSTER, minecraft:zombie, 80, 4, 4
3, extreme_hills, still_life:alpine_heathlands, MONSTER, minecraft:zombie_villager, 10, 1, 1
4, extreme_hills, still_life:alpine_heathlands, MONSTER, minecraft:skeleton, 80, 4, 4
5, extreme_hills, still_life:alpine_heathlands, MONSTER, minecraft:creeper, 70, 4, 4
6, extreme_hills, still_life:alpine_heathlands, MONSTER, minecraft:slime, 80, 4, 4
7, extreme_hills, still_life:alpine_heathlands, MONSTER, minecraft:enderman, 5, 1, 4
8, extreme_hills, still_life:alpine_heathlands, MONSTER, minecraft:witch, 5, 1, 1
9, extreme_hills, still_life:alpine_heathlands, CREATURE, minecraft:sheep, 22, 4, 4
10, extreme_hills, still_life:alpine_heathlands, CREATURE, minecraft:pig, 10, 4, 4
11, extreme_hills, still_life:alpine_heathlands, CREATURE, minecraft:chicken, 10, 4, 4
12, extreme_hills, still_life:alpine_heathlands, CREATURE, minecraft:goat, 10, 4, 4
13, extreme_hills, still_life:alpine_heathlands, CREATURE, minecraft:horse, 10, 2, 6
14, extreme_hills, still_life:alpine_heathlands, CREATURE, minecraft:donkey, 10, 1, 1
15, extreme_hills, still_life:alpine_heathlands, CREATURE, exoticbirds:pigeon, 12, 2, 5
16, extreme_hills, still_life:alpine_heathlands, CREATURE, epichunt:goat, 10, 1, 3
18, extreme_hills, still_life:alpine_heathlands, CREATURE, epichunt:owl, 12, 1, 2
19, extreme_hills, still_life:alpine_heathlands, AMBIENT, minecraft:bat,80, 8, 8
20, extreme_hills, still_life:alpine_heathlands, AMBIENT, epichunt:kestrel, 10, 1, 1
21, extreme_hills, still_life:alpine_heathlands, AMBIENT, epichunt:eagle, 10, 1, 1
22, extreme_hills, still_life:alpine_heathlands, AMBIENT, epichunt:hawk, 10, 1, 1
23, extreme_hills, still_life:alpine_heathlands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
24, extreme_hills, still_life:alpine_heathlands, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
25, extreme_hills, still_life:alpine_heathlands, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
26, extreme_hills, still_life:alpine_heathlands, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
27, extreme_hills, still_life:alpine_heathlands, WATER_AMBIENT, aquaculture:catfish, 10, 1, 1
28, extreme_hills, still_life:alpine_heathlands, WATER_AMBIENT, aquaculture:gar, 10, 1, 2
37, extreme_hills, still_life:alpine_heathlands, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
38, extreme_hills, still_life:alpine_heathlands, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
39, extreme_hills, still_life:alpine_heathlands, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
40, extreme_hills, still_life:alpine_heathlands, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
41, extreme_hills, still_life:alpine_plains, MONSTER, minecraft:spider, 80, 4, 4
42, extreme_hills, still_life:alpine_plains, MONSTER, minecraft:zombie, 80, 4, 4
43, extreme_hills, still_life:alpine_plains, MONSTER, minecraft:zombie_villager, 10, 1, 1
44, extreme_hills, still_life:alpine_plains, MONSTER, minecraft:skeleton, 80, 4, 4
45, extreme_hills, still_life:alpine_plains, MONSTER, minecraft:creeper, 80, 4, 4
46, extreme_hills, still_life:alpine_plains, MONSTER, minecraft:slime, 80, 4, 4
47, extreme_hills, still_life:alpine_plains, MONSTER, minecraft:enderman, 5, 1, 4
48, extreme_hills, still_life:alpine_plains, MONSTER, minecraft:witch, 5, 1, 1
49, extreme_hills, still_life:alpine_plains, CREATURE, minecraft:sheep, 22, 4, 4
